step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,0.525000,2.875000,57,10,0.011000
1,0.525000,2.825000,56,10,0.000000
2,0.475000,2.825000,56,9,0.001685
3,0.525000,2.825000,56,10,0.004538
4,0.575000,2.825000,56,11,0.002308
5,0.575000,2.875000,57,11,0.019070
6,0.575000,2.925000,58,11,0.000000
7,0.625000,2.925000,58,12,0.000000
8,0.625000,2.875000,57,12,0.017876
9,0.675000,2.875000,57,13,0.005277
10,0.675000,2.925000,58,13,0.000000
11,0.725000,2.925000,58,14,0.000000
12,0.675000,2.925000,58,13,0.002476
13,0.675000,2.875000,57,13,0.014892
14,0.675000,2.825000,56,13,0.000000
15,0.625000,2.825000,56,12,0.000000
16,0.675000,2.825000,56,13,0.000000
17,0.625000,2.825000,56,12,0.007809
18,0.625000,2.875000,57,12,0.000000
19,0.675000,2.875000,57,13,0.000000
20,0.675000,2.925000,58,13,0.003265
21,0.725000,2.925000,58,14,0.000000
22,0.775000,2.925000,58,15,0.000000
23,0.825000,2.925000,58,16,0.000447
24,0.875000,2.925000,58,17,0.020731
25,0.825000,2.925000,58,16,0.008827
26,0.825000,2.975000,59,16,0.000000
27,0.825000,3.025000,60,16,0.016916
28,0.775000,3.025000,60,15,0.000000
29,0.725000,3.025000,60,14,0.007325
30,0.725000,3.075000,61,14,0.000000
31,0.725000,3.025000,60,14,0.000000
32,0.725000,3.075000,61,14,0.000000
33,0.725000,3.025000,60,14,0.000000
34,0.775000,3.025000,60,15,0.004464
35,0.775000,2.975000,59,15,0.000000
36,0.725000,2.975000,59,14,0.000000
37,0.725000,2.925000,58,14,0.000000
38,0.725000,2.975000,59,14,0.006628
39,0.725000,2.925000,58,14,0.000913
40,0.725000,2.975000,59,14,0.000000
41,0.725000,3.025000,60,14,0.000000
42,0.725000,2.975000,59,14,0.017414
43,0.725000,2.925000,58,14,0.000000
44,0.675000,2.925000,58,13,0.017005
45,0.675000,2.975000,59,13,0.019100
46,0.625000,2.975000,59,12,0.010929
47,0.625000,2.925000,58,12,0.011155
48,0.625000,2.875000,57,12,0.003539
49,0.625000,2.825000,56,12,0.000000
