step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,5.275000,0.525000,10,105,0.011994
1,5.225000,0.525000,10,104,0.000000
2,5.175000,0.525000,10,103,0.000000
3,5.125000,0.525000,10,102,0.000715
4,5.125000,0.475000,9,102,0.004748
5,5.125000,0.425000,8,102,0.011016
6,5.075000,0.425000,8,101,0.007190
7,5.125000,0.425000,8,102,0.000000
8,5.075000,0.425000,8,101,0.000000
9,5.025000,0.425000,8,100,0.000000
10,4.975000,0.425000,8,99,0.000000
11,4.925000,0.425000,8,98,0.000000
12,4.875000,0.425000,8,97,0.000000
13,4.875000,0.375000,7,97,0.000000
14,4.825000,0.375000,7,96,0.000000
15,4.775000,0.375000,7,95,0.002022
16,4.725000,0.375000,7,94,0.000000
17,4.675000,0.375000,7,93,0.000000
18,4.625000,0.375000,7,92,0.000000
19,4.575000,0.375000,7,91,0.000000
20,4.525000,0.375000,7,90,0.000000
21,4.475000,0.375000,7,89,0.006475
22,4.425000,0.375000,7,88,0.005363
23,4.375000,0.375000,7,87,0.000000
24,4.325000,0.375000,7,86,0.000000
25,4.275000,0.375000,7,85,0.011676
26,4.325000,0.375000,7,86,0.000000
27,4.325000,0.425000,8,86,0.011321
28,4.275000,0.425000,8,85,0.018843
29,4.225000,0.425000,8,84,0.000000
30,4.175000,0.425000,8,83,0.015201
31,4.175000,0.475000,9,83,0.022242
32,4.125000,0.475000,9,82,0.010144
33,4.125000,0.525000,10,82,0.019288
34,4.075000,0.525000,10,81,0.017944
35,4.125000,0.525000,10,82,0.011466
36,4.175000,0.525000,10,83,0.021247
37,4.175000,0.475000,9,83,0.015178
38,4.175000,0.425000,8,83,0.009219
39,4.175000,0.475000,9,83,0.009513
40,4.175000,0.425000,8,83,0.000424
41,4.175000,0.375000,7,83,0.003250
42,4.175000,0.425000,8,83,0.010552
43,4.175000,0.475000,9,83,0.000000
44,4.125000,0.475000,9,82,0.017518
45,4.125000,0.525000,10,82,0.002237
46,4.125000,0.475000,9,82,0.022505
47,4.125000,0.525000,10,82,0.010875
48,4.075000,0.525000,10,81,0.001799
49,4.075000,0.575000,11,81,0.038524
