step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,8.325000,10.575000,211,166,0.000000
1,8.325000,10.625000,212,166,0.005489
2,8.375000,10.625000,212,167,0.000000
3,8.375000,10.675000,213,167,0.000000
4,8.375000,10.725000,214,167,0.008323
5,8.425000,10.725000,214,168,0.000000
6,8.425000,10.775000,215,168,0.000000
7,8.425000,10.725000,214,168,0.000000
8,8.425000,10.775000,215,168,0.000000
9,8.475000,10.775000,215,169,0.004153
10,8.525000,10.775000,215,170,0.000000
11,8.525000,10.725000,214,170,0.000000
12,8.475000,10.725000,214,169,0.000000
13,8.475000,10.675000,213,169,0.000000
14,8.475000,10.625000,212,169,0.007708
15,8.525000,10.625000,212,170,0.014260
16,8.525000,10.675000,213,170,0.019630
17,8.525000,10.725000,214,170,0.000000
18,8.525000,10.775000,215,170,0.000000
19,8.525000,10.825000,216,170,0.000000
20,8.525000,10.875000,217,170,0.000000
21,8.575000,10.875000,217,171,0.003037
22,8.575000,10.925000,218,171,0.008329
23,8.575000,10.975000,219,171,0.007972
24,8.575000,11.025000,220,171,0.009049
25,8.575000,10.975000,219,171,0.010936
26,8.575000,11.025000,220,171,0.009768
27,8.625000,11.025000,220,172,0.000000
28,8.625000,11.075000,221,172,0.007907
29,8.625000,11.125000,222,172,0.009657
30,8.625000,11.175000,223,172,0.014857
31,8.575000,11.175000,223,171,0.000000
32,8.575000,11.225000,224,171,0.008723
33,8.625000,11.225000,224,172,0.000000
34,8.625000,11.275000,225,172,0.000000
35,8.625000,11.225000,224,172,0.000000
36,8.675000,11.225000,224,173,0.000000
37,8.675000,11.275000,225,173,0.010059
38,8.725000,11.275000,225,174,0.005352
39,8.725000,11.325000,226,174,0.004788
40,8.725000,11.275000,225,174,0.007268
41,8.675000,11.275000,225,173,0.002877
42,8.725000,11.275000,225,174,0.000381
43,8.725000,11.325000,226,174,0.000000
44,8.775000,11.325000,226,175,0.000000
45,8.775000,11.375000,227,175,0.000000
46,8.775000,11.425000,228,175,0.005639
47,8.825000,11.425000,228,176,0.001908
48,8.825000,11.475000,229,176,0.009914
49,8.875000,11.475000,229,177,0.000000
