step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,12.025000,10.375000,207,240,0.000000
1,11.975000,10.375000,207,239,0.003417
2,11.925000,10.375000,207,238,0.000000
3,11.875000,10.375000,207,237,0.000000
4,11.925000,10.375000,207,238,0.000000
5,11.875000,10.375000,207,237,0.000757
6,11.875000,10.425000,208,237,0.000000
7,11.825000,10.425000,208,236,0.000000
8,11.775000,10.425000,208,235,0.000719
9,11.775000,10.375000,207,235,0.000000
10,11.775000,10.325000,206,235,0.000000
11,11.725000,10.325000,206,234,0.009263
12,11.675000,10.325000,206,233,0.008010
13,11.625000,10.325000,206,232,0.000000
14,11.575000,10.325000,206,231,0.005669
15,11.575000,10.275000,205,231,0.000000
16,11.525000,10.275000,205,230,0.007649
17,11.575000,10.275000,205,231,0.000000
18,11.525000,10.275000,205,230,0.002678
19,11.475000,10.275000,205,229,0.000000
20,11.425000,10.275000,205,228,0.011051
21,11.475000,10.275000,205,229,0.000000
22,11.475000,10.225000,204,229,0.000000
23,11.525000,10.225000,204,230,0.000000
24,11.475000,10.225000,204,229,0.004316
25,11.425000,10.225000,204,228,0.000636
26,11.375000,10.225000,204,227,0.000000
27,11.325000,10.225000,204,226,0.000000
28,11.275000,10.225000,204,225,0.024312
29,11.225000,10.225000,204,224,0.000729
30,11.225000,10.275000,205,224,0.000000
31,11.175000,10.275000,205,223,0.000000
32,11.125000,10.275000,205,222,0.000000
33,11.075000,10.275000,205,221,0.000000
34,11.025000,10.275000,205,220,0.000000
35,10.975000,10.275000,205,219,0.014525
36,10.925000,10.275000,205,218,0.006364
37,10.875000,10.275000,205,217,0.000000
38,10.925000,10.275000,205,218,0.000000
39,10.875000,10.275000,205,217,0.003418
40,10.825000,10.275000,205,216,0.000000
41,10.775000,10.275000,205,215,0.005474
42,10.775000,10.325000,206,215,0.000000
43,10.725000,10.325000,206,214,0.019296
44,10.675000,10.325000,206,213,0.000000
45,10.625000,10.325000,206,212,0.011398
46,10.675000,10.325000,206,213,0.000280
47,10.725000,10.325000,206,214,0.004914
48,10.775000,10.325000,206,215,0.000000
49,10.725000,10.325000,206,214,0.000000
