step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,0.625000,6.925000,138,12,0.001728
1,0.625000,6.975000,139,12,0.008461
2,0.675000,6.975000,139,13,0.000000
3,0.675000,7.025000,140,13,0.010072
4,0.625000,7.025000,140,12,0.010004
5,0.625000,7.075000,141,12,0.008093
6,0.575000,7.075000,141,11,0.000000
7,0.575000,7.125000,142,11,0.000000
8,0.625000,7.125000,142,12,0.000000
9,0.625000,7.175000,143,12,0.001251
10,0.675000,7.175000,143,13,0.007052
11,0.675000,7.125000,142,13,0.000000
12,0.675000,7.075000,141,13,0.001236
13,0.725000,7.075000,141,14,0.010603
14,0.725000,7.025000,140,14,0.006549
15,0.675000,7.025000,140,13,0.000000
16,0.675000,6.975000,139,13,0.011368
17,0.675000,7.025000,140,13,0.000000
18,0.725000,7.025000,140,14,0.002073
19,0.725000,7.075000,141,14,0.000000
20,0.775000,7.075000,141,15,0.000000
21,0.775000,7.125000,142,15,0.000000
22,0.775000,7.175000,143,15,0.009395
23,0.775000,7.125000,142,15,0.000000
24,0.775000,7.075000,141,15,0.000000
25,0.775000,7.125000,142,15,0.000000
26,0.725000,7.125000,142,14,0.001648
27,0.725000,7.175000,143,14,0.000000
28,0.675000,7.175000,143,13,0.000000
29,0.725000,7.175000,143,14,0.015246
30,0.675000,7.175000,143,13,0.000000
31,0.675000,7.125000,142,13,0.003672
32,0.725000,7.125000,142,14,0.012401
33,0.675000,7.125000,142,13,0.000000
34,0.675000,7.175000,143,13,0.021230
35,0.725000,7.175000,143,14,0.000000
36,0.725000,7.125000,142,14,0.000000
37,0.775000,7.125000,142,15,0.000000
38,0.775000,7.075000,141,15,0.009116
39,0.725000,7.075000,141,14,0.000321
40,0.775000,7.075000,141,15,0.016171
41,0.725000,7.075000,141,14,0.000000
42,0.675000,7.075000,141,13,0.008971
43,0.625000,7.075000,141,12,0.000000
44,0.575000,7.075000,141,11,0.000628
45,0.575000,7.025000,140,11,0.008519
46,0.575000,6.975000,139,11,0.000000
47,0.525000,6.975000,139,10,0.000000
48,0.575000,6.975000,139,11,0.000000
49,0.625000,6.975000,139,12,0.000000
