step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,9.125000,5.425000,108,182,0.000000
1,9.075000,5.425000,108,181,0.015826
2,9.075000,5.375000,107,181,0.000000
3,9.025000,5.375000,107,180,0.001341
4,9.075000,5.375000,107,181,0.000000
5,9.025000,5.375000,107,180,0.005133
6,9.025000,5.325000,106,180,0.013771
7,8.975000,5.325000,106,179,0.003107
8,8.925000,5.325000,106,178,0.018119
9,8.875000,5.325000,106,177,0.000000
10,8.925000,5.325000,106,178,0.000396
11,8.875000,5.325000,106,177,0.000000
12,8.825000,5.325000,106,176,0.000000
13,8.775000,5.325000,106,175,0.000000
14,8.725000,5.325000,106,174,0.000000
15,8.675000,5.325000,106,173,0.014914
16,8.625000,5.325000,106,172,0.000000
17,8.575000,5.325000,106,171,0.006666
18,8.525000,5.325000,106,170,0.004178
19,8.475000,5.325000,106,169,0.001063
20,8.425000,5.325000,106,168,0.000000
21,8.375000,5.325000,106,167,0.000000
22,8.325000,5.325000,106,166,0.014894
23,8.325000,5.375000,107,166,0.012971
24,8.275000,5.375000,107,165,0.004270
25,8.225000,5.375000,107,164,0.008961
26,8.175000,5.375000,107,163,0.011860
27,8.125000,5.375000,107,162,0.000000
28,8.075000,5.375000,107,161,0.000000
29,8.125000,5.375000,107,162,0.003953
30,8.075000,5.375000,107,161,0.000000
31,8.025000,5.375000,107,160,0.000000
32,7.975000,5.375000,107,159,0.010180
33,7.925000,5.375000,107,158,0.015515
34,7.925000,5.425000,108,158,0.001195
35,7.925000,5.375000,107,158,0.009405
36,7.875000,5.375000,107,157,0.014366
37,7.925000,5.375000,107,158,0.000000
38,7.875000,5.375000,107,157,0.000000
39,7.875000,5.325000,106,157,0.000000
40,7.825000,5.325000,106,156,0.000986
41,7.775000,5.325000,106,155,0.000000
42,7.775000,5.375000,107,155,0.020023
43,7.775000,5.325000,106,155,0.008274
44,7.725000,5.325000,106,154,0.000000
45,7.725000,5.375000,107,154,0.001067
46,7.675000,5.375000,107,153,0.014939
47,7.675000,5.425000,108,153,0.022911
48,7.625000,5.425000,108,152,0.001849
49,7.625000,5.475000,109,152,0.000000
