step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,5.825000,2.325000,46,116,0.000000
1,5.775000,2.325000,46,115,0.000000
2,5.775000,2.275000,45,115,0.015120
3,5.725000,2.275000,45,114,0.007640
4,5.725000,2.325000,46,114,0.006835
5,5.725000,2.375000,47,114,0.001699
6,5.675000,2.375000,47,113,0.000000
7,5.675000,2.425000,48,113,0.000000
8,5.725000,2.425000,48,114,0.002632
9,5.725000,2.475000,49,114,0.021341
10,5.725000,2.525000,50,114,0.000000
11,5.725000,2.575000,51,114,0.000000
12,5.775000,2.575000,51,115,0.000000
13,5.725000,2.575000,51,114,0.000000
14,5.725000,2.625000,52,114,0.000000
15,5.725000,2.675000,53,114,0.000000
16,5.675000,2.675000,53,113,0.000000
17,5.675000,2.725000,54,113,0.000000
18,5.675000,2.675000,53,113,0.000000
19,5.675000,2.725000,54,113,0.003222
20,5.675000,2.775000,55,113,0.008137
21,5.675000,2.825000,56,113,0.012846
22,5.675000,2.875000,57,113,0.004976
23,5.675000,2.925000,58,113,0.000000
24,5.675000,2.975000,59,113,0.007970
25,5.625000,2.975000,59,112,0.003274
26,5.625000,3.025000,60,112,0.000000
27,5.625000,3.075000,61,112,0.000000
28,5.625000,3.125000,62,112,0.000000
29,5.625000,3.175000,63,112,0.000000
30,5.625000,3.225000,64,112,0.000000
31,5.675000,3.225000,64,113,0.010632
32,5.675000,3.275000,65,113,0.000000
33,5.675000,3.325000,66,113,0.008142
34,5.625000,3.325000,66,112,0.000000
35,5.625000,3.375000,67,112,0.011529
36,5.625000,3.325000,66,112,0.000000
37,5.675000,3.325000,66,113,0.000000
38,5.675000,3.375000,67,113,0.000000
39,5.675000,3.425000,68,113,0.000000
40,5.675000,3.375000,67,113,0.000000
41,5.675000,3.425000,68,113,0.004787
42,5.625000,3.425000,68,112,0.004924
43,5.575000,3.425000,68,111,0.000000
44,5.575000,3.475000,69,111,0.000395
45,5.575000,3.525000,70,111,0.000000
46,5.575000,3.575000,71,111,0.000000
47,5.575000,3.625000,72,111,0.000000
48,5.525000,3.625000,72,110,0.000000
49,5.525000,3.675000,73,110,0.000000
