step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,3.225000,2.825000,56,64,0.011944
1,3.175000,2.825000,56,63,0.002152
2,3.225000,2.825000,56,64,0.000126
3,3.225000,2.875000,57,64,0.012348
4,3.275000,2.875000,57,65,0.000000
5,3.225000,2.875000,57,64,0.000000
6,3.275000,2.875000,57,65,0.000000
7,3.275000,2.925000,58,65,0.000000
8,3.275000,2.975000,59,65,0.000000
9,3.325000,2.975000,59,66,0.002822
10,3.325000,2.925000,58,66,0.000000
11,3.375000,2.925000,58,67,0.000000
12,3.375000,2.875000,57,67,0.012924
13,3.375000,2.925000,58,67,0.002532
14,3.325000,2.925000,58,66,0.005446
15,3.325000,2.875000,57,66,0.017769
16,3.325000,2.925000,58,66,0.000000
17,3.375000,2.925000,58,67,0.000000
18,3.375000,2.975000,59,67,0.000000
19,3.375000,3.025000,60,67,0.000000
20,3.375000,2.975000,59,67,0.003166
21,3.325000,2.975000,59,66,0.000000
22,3.375000,2.975000,59,67,0.000000
23,3.425000,2.975000,59,68,0.008607
24,3.425000,2.925000,58,68,0.013770
25,3.375000,2.925000,58,67,0.001103
26,3.375000,2.875000,57,67,0.001296
27,3.375000,2.825000,56,67,0.003886
28,3.375000,2.775000,55,67,0.000000
29,3.375000,2.725000,54,67,0.000000
30,3.375000,2.775000,55,67,0.000000
31,3.375000,2.825000,56,67,0.007859
32,3.425000,2.825000,56,68,0.016371
33,3.425000,2.775000,55,68,0.027469
34,3.375000,2.775000,55,67,0.015913
35,3.375000,2.825000,56,67,0.000000
36,3.425000,2.825000,56,68,0.000000
37,3.375000,2.825000,56,67,0.008159
38,3.325000,2.825000,56,66,0.000000
39,3.275000,2.825000,56,65,0.020095
40,3.275000,2.775000,55,65,0.007318
41,3.325000,2.775000,55,66,0.000875
42,3.275000,2.775000,55,65,0.004901
43,3.225000,2.775000,55,64,0.006978
44,3.225000,2.725000,54,64,0.000000
45,3.275000,2.725000,54,65,0.008264
46,3.225000,2.725000,54,64,0.000000
47,3.225000,2.675000,53,64,0.006122
48,3.175000,2.675000,53,63,0.002633
49,3.125000,2.675000,53,62,0.000000
